,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,54.01,96,90,1.99,AU,1623942850
1,Narsaq,60.9167,-46.05,53.82,71,56,6.46,GL,1623942850
2,Cape Town,-33.9258,18.4232,64.09,82,94,1.01,ZA,1623942673
3,Chui,-33.6971,-53.4616,53.35,79,100,10.87,UY,1623942851
4,Charleville,-26.4,146.25,42.87,87,18,0.0,AU,1623942851
5,Port Alfred,-33.5906,26.891,65.68,68,0,17.78,ZA,1623942852
6,Puerto Ayora,-0.7393,-90.3518,77.56,84,100,4.0,EC,1623942852
7,Mataura,-46.1927,168.8643,35.47,95,30,3.22,NZ,1623942622
8,Dikson,73.5069,80.5464,32.0,98,100,14.23,RU,1623942852
9,Jamestown,42.097,-79.2353,67.01,41,1,3.0,US,1623942853
10,Kavieng,-2.5744,150.7967,80.08,77,97,1.86,PG,1623942853
11,San Jose,37.3394,-121.895,82.85,65,20,0.0,US,1623942558
12,Pevek,69.7008,170.3133,32.52,91,100,6.82,RU,1623942853
13,Ewo,-0.8725,14.8206,84.06,55,93,4.9,CG,1623942676
14,Hualmay,-11.0964,-77.6139,68.85,75,83,8.05,PE,1623942854
15,Busselton,-33.65,115.3333,43.09,77,0,6.91,AU,1623942854
16,Albany,42.6001,-73.9662,70.9,48,1,1.01,US,1623942717
17,Bluff,-46.6,168.3333,35.8,74,62,11.41,NZ,1623942855
18,Nikolskoye,59.7035,30.7861,74.39,40,8,5.53,RU,1623942855
19,Havre-St-Pierre,50.2334,-63.5986,52.16,87,90,8.05,CA,1623942855
20,Torbay,47.6666,-52.7314,63.28,100,100,13.65,CA,1623942855
21,Arlit,18.7369,7.3853,105.4,11,9,5.41,NE,1623942856
22,Tasiilaq,65.6145,-37.6368,39.36,76,33,1.32,GL,1623942856
23,Mahuva,21.0914,71.7622,85.5,71,97,19.3,IN,1623942856
24,Sarāhan,31.5167,77.8,61.93,84,80,1.81,IN,1623942857
25,Castro,-24.7911,-50.0119,56.41,74,100,3.74,BR,1623942857
26,Mahébourg,-20.4081,57.7,70.25,79,45,14.34,MU,1623942857
